idInicio,idFinal,pendiente,agregadaPor,esVerificada,esCiclovia,distancia,ponderacionRapidez,ponderacionCiclovia,ponderacionPendiente,nombreRuta,tieneIncidente
21,20,3.0,admin,false,false,436.3860168457031,0.4516034,0.85053444,0.6212342,De Rio Coca y Amazonas a Rio Coca y Shyris,false
22,23,-2.5,admin,false,false,319.2925720214844,0.3192577,0.8369748,0.36661997,De Gama Autos Eloy Alfaro a Eloy Alfaro y Los Álamos,false
22,15,2.5,admin,false,false,565.8614501953125,0.4882507,0.865528,0.61025715,De Gama Autos Eloy Alfaro a Redondel Eloy Alfaro y El Inca,false
23,24,-2.5,admin,false,false,755.6575317382812,0.47085378,0.88750684,0.404519,De Eloy Alfaro y Los Álamos a Eloy Alfaro y Pinos,false
23,22,2.5,admin,false,false,319.2925720214844,0.40259102,0.8369748,0.5888422,De Eloy Alfaro y Los Álamos a Gama Autos Eloy Alfaro,false
24,25,-3.5,admin,false,false,326.38543701171875,0.30505514,0.83779615,0.32279155,De Eloy Alfaro y Pinos a 6 de diciembre y Pinos,false
24,23,2.5,admin,false,false,755.6575317382812,0.5541871,0.88750684,0.62674123,De Eloy Alfaro y Pinos a Eloy Alfaro y Los Álamos,false
25,26,-3.5,admin,false,false,831.452392578125,0.48051876,0.89628404,0.36665747,De 6 de diciembre y Pinos a Pinos y Galo Plaza,false
25,24,3.5,admin,false,false,326.38543701171875,0.4217218,0.83779615,0.63390267,De 6 de diciembre y Pinos a Eloy Alfaro y Pinos,false
26,27,-2.2,admin,false,false,280.74981689453125,0.3108677,0.8325114,0.3766058,De Pinos y Galo Plaza a Galo plaza y Nicolas Urquiola,false
26,25,3.5,admin,false,false,831.452392578125,0.59718543,0.89628404,0.6777685,De Pinos y Galo Plaza a 6 de diciembre y Pinos,false
26,42,2.2,admin,false,false,1727.0826416015625,0.88666666,1.0,0.69777775,De Pinos y Galo Plaza a Entrada Intercambiador Ciclovía Amazonas y 10 de Agosto,false
27,89,-2.2,admin,false,false,415.9780578613281,0.3578469,0.8481712,0.3883506,De Galo plaza y Nicolas Urquiola a Galo Plaza y Murialdo,false
27,28,2.5,admin,false,false,150.51698303222656,0.34395728,0.8174302,0.57418376,De Galo plaza y Nicolas Urquiola a Nicolás Urquiola y Teodoro Salen,false
